##name	AmericanEnglish (Ru-En)
##sourceLang	Russian
##targetLang	English
а	<div style="margin-left:1em"><i class="p"><font color="green">союз</font></i></div>\n<div style="margin-left:1em">1) but</div>\n<div style="margin-left:2em"><span class="sec"><span class="ex"><font color="steelblue">крас[&#x27;]и[/&#x27;]в, а не умён — he is handsome but not clever</font></span></span></div>\n<div style="margin-left:1em">2) and</div>\n<div style="margin-left:2em"><span class="sec"><span class="ex"><font color="steelblue">что ты сег[&#x27;]о[/&#x27;]дня д[&#x27;]е[/&#x27;]лаешь? а з[&#x27;]а[/&#x27;]втра? — what are you doing today? and tomorrow?</font></span></span></div>\n<div style="margin-left:1em">3) while</div>\n<div style="margin-left:2em"><span class="sec"><span class="ex"><font color="steelblue">я пошёл гул[&#x27;]я[/&#x27;]ть, а он ост[&#x27;]а[/&#x27;]лся д[&#x27;]о[/&#x27;]ма — I went for a walk while he stayed at home</font></span></span></div>\n<div style="margin-left:1em"><span class="sec">•</span></div>\n<div style="margin-left:1em"><span class="sec">- <a href="а именно">а именно</a></span></div>\n<div style="margin-left:1em">- <a href="а также">а также</a></div>\n<div style="margin-left:1em">- <a href="а то">а то</a></div>\n<div style="margin-left:1em"><span class="sec">- <a href="а не то">а не то</a></span></div>\n<div style="margin-left:1em"><span class="sec">- <a href="А Васька слушает да ест">А Васька слушает да ест</a></span></div>
А В{[']}а{[/']}ська сл{[']}у{[/']}шает да ест	<div style="margin-left:1em">(<i>from Krylov&#x27;s fable</i>) ...But Thomas all the while is busy with the chicken</div>
а где соль анекд{[']}о{[/']}та?	<div style="margin-left:1em">and where is the punch line?</div>
а {[']}и{[/']}менно	<div style="margin-left:1em">namely; exactly; such as; that is</div>
а мне наплев{[']}а{[/']}ть!	<div style="margin-left:1em">I couldn&#x27;t care less!</div>
а не то	<div style="margin-left:1em">or else; otherwise</div>\n<div style="margin-left:2em"><span class="sec"><span class="ex"><font color="steelblue">сд[&#x27;]е[/&#x27;]лай [&#x27;]э[/&#x27;]то, а не то... — please do it, or else...</font></span></span></div>
а т{[']}а{[/']}кже	<div style="margin-left:1em">also, as well</div>
а то	<div style="margin-left:1em">or else</div>
а у вас есть д{[']}е{[/']}ти?	<div style="margin-left:1em">do you have a family?</div>
а что д{[']}а{[/']}льше?	<div style="margin-left:1em">and then what?</div>
а что?	<div style="margin-left:1em">why?</div>
абаж{[']}у{[/']}р	<div style="margin-left:1em"><i class="p"><font color="green">м</font></i></div>\n<div style="margin-left:1em">(lamp-)shade</div>
Абак{[']}а{[/']}н	<div style="margin-left:1em">Abakan</div>
абз{[']}а{[/']}ц	<div style="margin-left:1em"><i class="p"><font color="green">м</font></i></div>\n<div style="margin-left:1em">paragraph [<font face="Helvetica" class="dsl_t">&#x27;pær-</font>]</div>
Абидж{[']}а{[/']}н	<div style="margin-left:1em">(<i>город в гос-ве Кот-д&#x27;Ивуар</i>) Abijan [<font face="Helvetica" class="dsl_t">ˌæbɪ&#x27;dʒæn</font>]</div>
абитури{[']}е{[/']}нт	<div style="margin-left:1em"><font color="green"><i><i class="p"><font color="green">м</font></i></i>; <i><i class="p"><font color="green">ж</font></i></i> - абитури[&#x27;]е[/&#x27;]нтка</font></div>\n<div style="margin-left:1em">university [<font face="Helvetica" class="dsl_t">-&#x27;və:r-</font>] (college [<font face="Helvetica" class="dsl_t">&#x27;ka:l-</font>]) entrant</div>
абитури{[']}е{[/']}нтка	<div style="margin-left:1em"><font color="green"><i><i class="p"><font color="green">ж</font></i></i>; <i><i class="p"><font color="green">см.</font></i></i> <a href="абитуриент">абитуриент</a></font></div>
абонем{[']}е{[/']}нт	<div style="margin-left:1em"><i class="p"><font color="green">м</font></i></div>\n<div style="margin-left:1em">1) season ticket</div>\n<div style="margin-left:1em">2) (<i>библиотечный</i>) lending library [<font face="Helvetica" class="dsl_t">&#x27;laibrərɪ</font>]</div>
абон{[']}е{[/']}нт	<div style="margin-left:1em"><i class="p"><font color="green">м</font></i></div>\n<div style="margin-left:1em">1) subscriber</div>\n<div style="margin-left:1em">2) (<i>библиотеки</i>) reader</div>
