##name	CyberLexicon(En-Es)
##description	------------------------------------------------------------------------------\nCyberLexicon for Lingvo 9.0\n-------------------------------------------------------------------------------\nThe CyberLexicon is a compilation of English terminology peculiar to computer culture and technology and its equivalents in Spanish.\nThe dictionary contains 861 entries.\nThe dictionary was created from Comparative CyberLexicon of Telefonica\nhttp://www.telefonica.es/fat/elex.html\n\nConversion to Lingvo 9.0 format by Slava (stuff@tut.by, Minsk, Belarus)\nDictionary version 1.1\n14.06.2004\n\n-------------------------------------------------------------------------------\nCyberLexicon para Lingvo 9.0\n-------------------------------------------------------------------------------\nEl CyberLexicon es una compilación de terminología inglesa relacionada con la informática y la tecnología y sus equivalentes en castellano.\nEl diccionario incluye 861 artículos.\n\nEl diccionario ha sido creado del Comparative CyberLexicon de Telefónica\nhttp://www.telefonica.es/fat/elex.html\n\nConversión al formato de Lingvo 9.0 por Slava (stuff@tut.by, Minsk, Belarús)\nLa versión número 1.1 del diccionario\n14.06.2004\n
##input_file_size	11543
##sourceLang	English
##targetLang	Spanish
3-D modelling	<div class="article"><div class="k">3-D modelling</div><span class="abr"><font color="green"><i>expression</i></font></span><br/> modelado <span class="abr"><font color="green"><i>m</i></font></span> 3-D</div>
3-D tracking system	<div class="article"><div class="k">3-D tracking system</div><span class="abr"><font color="green"><i>expression</i></font></span><br/> sistema <span class="abr"><font color="green"><i>m</i></font></span> de seguimiento en 3-D</div>
@	<div class="article"><div class="k">@</div><span class="abr"><font color="green"><i>noun</i></font></span><br/> arroba <span class="abr"><font color="green"><i>f</i></font></span></div>
ADSL	<div class="article"><div class="k">ADSL</div>See: <a class="kref" href="bword://bword://asymmetrical digital subscriber line">bword://asymmetrical digital subscriber line</a></div>
AGB	<div class="article"><div class="k">AGB</div>See: <a class="kref" href="bword://accelerated graphics board">accelerated graphics board</a></div>
AI	<div class="article"><div class="k">AI</div>See: <a class="kref" href="bword://artificial intelligence">artificial intelligence</a></div>
API	<div class="article"><div class="k">API</div>See: <a class="kref" href="bword://application program interface">application program interface</a></div>
ASAP	<div class="article"><div class="k">ASAP</div><span class="abr"><font color="green"><i>abbreviation</i></font></span><br/> tan pronto como sea posible</div>
ASCII	<div class="article"><div class="k">ASCII</div><span class="abr"><font color="green"><i>abbreviation</i></font></span><br/> ASCII (estándar americano de codificación para el intercambio de información)</div>
ATM	<div class="article"><div class="k">ATM</div>See: <a class="kref" href="bword://asynchronous transfer mode">asynchronous transfer mode</a></div>
AUP	<div class="article"><div class="k">AUP</div>See: <a class="kref" href="bword://acceptable use policy">acceptable use policy</a></div>
BBS	<div class="article"><div class="k">BBS</div>See: <a class="kref" href="bword://bulletin board system">bulletin board system</a><br/> <span class="abr"><font color="green"><i>abbreviation</i></font></span><br/> tablero <span class="abr"><font color="green"><i>m</i></font></span> electrónico, sistema <span class="abr"><font color="green"><i>m</i></font></span> de tablero de boletines, tablón <span class="abr"><font color="green"><i>m</i></font></span> de anuncios electrónico, pizarra <span class="abr"><font color="green"><i>f</i></font></span> electrónica</div>
BPS	<div class="article"><div class="k">BPS</div>See: <a class="kref" href="bword://bits per second">bits per second</a></div>
BPS bits per second	<div class="article"><div class="k">BPS bits per second</div><span class="abr"><font color="green"><i>expression</i></font></span><br/> bits <span class="abr"><font color="green"><i>m</i></font></span> por segundo</div>
Bcc:	<div class="article"><div class="k">Bcc:</div><span class="abr"><font color="green"><i>noun</i></font></span><br/> copia oculta</div>
