##name	100-en-fa.txt.index
##sourceLang	English
##targetLang	Persian
A	<div>/<font color="gray">ā</font>/<br><br /><div dir="rtl"><font color="green">اسم،  جمع</font><br><ol><li>حرف اول الفبای انگلیسی</li><li>هر یک از اصواتی که این حرف در زبان انگلیسی دارد</li><li>(هر چیز شامل اقلام و اجزا) قلم اول</li><li>هر چیز به شکل:A</li><li>وابسته به حرف A* from A to Zاز الف تا ی، از اول تا آخر</li></ol></div></div><br /><br /><br /><hr><br /><br /><div>/<font color="gray">ā</font>/<br><br /><div dir="rtl"><font color="green">اسم،  صفت</font><br><ol><li>گروه خونی آ (رجوع شود به:<a href="bword://ABO system">ABO system</a>)</li><li>نمرهٔ الف</li><li>(موسیقی) نت ششم در گام لا ماژور C</li><li>درجهٔ یک، عالی، سرحال، معرکه، قبراق، سالم</li></ol></div></div><br />
a	<div>/<font color="gray">ā</font>/<br><br /><div dir="rtl"><font color="green">اسم،  جمع</font><br><ol><li>حرف اول الفبای انگلیسی</li><li>هر یک از اصواتی که این حرف در زبان انگلیسی دارد</li><li>(هر چیز شامل اقلام و اجزا) قلم اول</li><li>هر چیز به شکل:A</li><li>وابسته به حرف A* from A to Zاز الف تا ی، از اول تا آخر</li></ol></div></div><br /><br /><br /><hr><br /><br /><div>/<font color="gray">ǝ</font>/<br><br /><div dir="rtl"><font color="green">صفت،  indefinite article</font><br><ol><li>(پیش از واژه‌هایی که با حرف صدادار آغاز می‌شوند تبدیل به an می‌شود)</li><li>یک، یک عدد، - ی (یای نکره یا وحدت)I see a manمردی را می‌بینم.once a dayروزی یکبارa Mr. Smith called you yesterdayمردی به نام آقای اسمیت دیروز به شما تلفن زد.an appleیک سیبa cityیک شهرa hundred and fifty thousandیکصد و پنجاه هزار</li><li>هر، هر یک* a fewمعدودی، چندتا، چند عدد* a good (or great) manyبسیار، خیلی، زیادa good many of them were sickتعداد کثیری از آنها بیمار بودند.</li></ol></div></div><br /><br /><br /><hr><br /><br /><div>/<font color="gray">ǝ</font>/<br><br /><div dir="rtl"><font color="green">پیشوند</font><br><ol><li>در، به، درون</li><li>در حال، مشغول</li><li>بدون، فاقد، ابی -، بی -، نا [amoral]</li></ol></div></div><br />
a cappella	<div>/<font color="gray">ä´kǝ pel´ǝ</font>/<br><br /><div dir="rtl">آواز بدون همراهی موسیقی (به ویژه آواز کلیسایی)</div></div><br />
a capriccio	<div>/<font color="gray">ä´kǝ prē´chō</font>/<br><br /><div dir="rtl">(موسیقی - آهنگ یا آوازی که به دلخواه نوازنده یا خواننده اجرا می‌شود) آکاپریچو</div></div><br />
a deux	<div>/<font color="gray">å dö´</font>/<br><br /><div dir="rtl"><ol><li>(فرانسه)</li><li>دو نفره، دو نفری</li><li>خودمانی، در خلوت</li></ol></div></div><br />
a fortiori	<div>/<font color="gray">ā´ fôr´shē ôr´ī´</font>/<br><br /><div dir="rtl">مستدل‌تر، منطقی‌تر، اولی‌ترif four divided by two is two, two plus two is afortiori fourاگر چهار تقسیم بر دو می‌شود دو، پس پرواضح است که دو و دو می‌شود چهار.the man of prejudice is, afortiori, a man of limited mental visionپر واضح است که آدم متعصب، بینش ذهنی محدودی نیز دارد.</div></div><br />
a k a	<div>/<font color="gray">ā´kā´ā´</font>/<br><br /><div dir="rtl"><font color="green">مخفف</font><br>به این نام هم شناخته می‌شود، به نام مستعار (مثل نام‌هایی که در پرونده‌های پلیسی ذکر می‌شود)</div></div><br />
a la carte	<div>/<font color="gray">ä´lǝ kärt´</font>/,  /<font color="gray">al´ǝ-</font>/<br><br /><div dir="rtl">(فرانسه) غذای رستوران که قیمت جداگانه دارد (با table d'hote مقایسه شود)</div></div><br />
a la mode	<div>/<font color="gray">al´ǝ mōd´</font>/,  /<font color="gray">ä´lǝ-</font>/<br><br /><div dir="rtl"><ol><li>(فرانسه)</li><li>به مد روز، شیک، متداول</li><li>غذای تهیه شده به روش مخصوص (alamode هم می‌نویسند)cake a la modeکیک مخصوص</li></ol></div></div><br />
A level	<div><div dir="rtl">(انگلیس) مرحلهٔ دوم و پیشرفته‌تر امتحانات دورهٔ متوسطه (که معمولا دو سال بعد از امتحان اول انجام می‌شود) (رجوع شود به:<a href="bword://O level">O level</a>)، قبولی در این امتحانات (A-level هم می‌نویسند)</div></div><br />
A one	<div>/<font color="gray">ā´ wun´</font>/<br><br /><div dir="rtl"><ol><li>(در اصل) روش برآورد ارزش کشتی‌ها: "A" مبین خوبی و استحکام بدنه است و "one" مبین خوبی وسایل و موتور کشتی</li><li>(عامیانه) عالی، درجه یک (A1 و A number 1 هم می‌نویسند)</li></ol></div></div><br />
a posteriori	<div>/<font color="gray">ā´ päs tir´ē ôr´ī´</font>/<br><br /><div dir="rtl"><ol><li>(منطق) از معلول به علت، از جز به کل، استقرایی، استنتاجی</li><li>مبتنی بر تجربه و مشاهده، تجربی، آزمون مدارانه، وابسته به پدیده سنجی (مخالف از علت به معلول یا: a priori)"where there is smoke, something is burning" is a posteriori reasoning((هر جا دود باشد چیزی می‌سوزد)) استدلال استنتاجی است.</li></ol></div></div><br />
