##name	300 random entrie from Aryanpour (2021) (en-fa, fa-en)
##input_file_size	63187
##edition	2021.01.02
##copyright	Licensed under the <a href="https://creativecommons.org/licenses/by-sa/3.0/legalcode">Creative Commons Attribution-ShareAlike 3.0 Unported</a> license
##publisher	Saeed Rasooli
##creationTime	2020-12-07
##sourceLang	English
##targetLang	Persian
-carpic|carpic	<div>/<font color="gray">kär´pik</font>/<br>\n<div dir="rtl"><font color="green">پسوند</font><br>برچه‌دار، برچه‌ای (مشابه monocarpic] (-carpous]</div></div>
-stichous|stichous	<div>/<font color="gray">stik´ǝs</font>/<br>\n<div dir="rtl"><font color="green">پسوند</font><br>پسوند (صفت ساز): دارای ردیف یا رج به تعداد یا نوع معین</div></div>
Bergson	<div>/<font color="gray">berk sōn´</font>/<br>\n<div dir="rtl">هنری برگسون (فیلسوف فرانسوی)</div></div>
Cheops	<div>/<font color="gray">kē´äps´</font>/<br>\n<div dir="rtl">نام یونانی: Khufu</div></div>
Curie	<div>/<font color="gray">kyoo rē´</font>/<br>\n<div dir="rtl">نام خانوادگی ماری کوری (1867-1934) و شوهرش پیر کوری (1859-1906) یابندگان رادیم و پلونیم</div></div>
DFA	<div><div dir="rtl"><font color="green">مخفف</font><br>دکتر در هنرهای زیبا</div></div>
Es	<div><div dir="rtl"><font color="green">مخفف</font><br><ol><li>(شیمی) انشتینیم</li><li>(انجیل) استر</li></ol></div></div>
Glendower	<div>/<font color="gray">glen´dou ǝr</font>/,  /<font color="gray">glen dou´ǝr</font>/<br>\n<div dir="rtl">اوئن گلنداور (سردار ایالت ولز در انگلیس که بر هانری چهارم شورید)</div></div>
Hall of Fame	<div><div dir="rtl">(امریکا) تالار افتخار (تالاری که در آن مجسمه یا نام مشاهیر رشتهٔ ویژه‌ای را قرار می‌دهند)Basketball Hall of Fameتالار افتخار بسکتبالیست‌های امریکا</div></div>
Hercules	<div>/<font color="gray">hu_r´kyōō lēz´</font>/<br>\n<div dir="rtl"><font color="green">اسم</font><br><ol><li>(اسطوره‌های یونان و روم) هرکول، هرکولس (فرزند غول پیکر و نیرومند و چماق‌دار زوس یا زاوش)</li><li>(نجوم) استارگان (مجمع‌الکواکب) هرکول</li><li>(H کوچک) مرد غول پیکر، تهمتن</li></ol></div></div>
Marine Corps	<div><div dir="rtl">رجوع شود به:<a href="bword://United States Marine Corps">United States Marine Corps</a></div></div>
NY	<div><div dir="rtl"><font color="green">مخفف</font><br>نیویورک</div></div>
November	<div>/<font color="gray">nō vem´bǝr</font>/<br>\n<div dir="rtl"><font color="green">اسم</font><br>ماه نوامبر (یازدهمین ماه تقویم فرنگی)</div></div>
Pittsburgh	<div>/<font color="gray">pits´bu_rg´</font>/<br>\n<div dir="rtl">شهر پیتزبورگ (ایالت پنسیلوانیا - امریکا)</div></div>
Pushtu	<div>/<font color="gray">push´tōō</font>/<br>\n<div dir="rtl"><font color="green">اسم</font><br>رجوع شود به:<a href="bword://Pashto">Pashto</a></div></div>
RA	<div><div dir="rtl"><font color="green">مخفف</font><br><ol><li>دریادار</li><li>عضو فرهنگستان انگلیس</li><li>فرهنگستان سلطنتی انگلیس</li></ol></div></div>
Rio de Janeiro	<div>/<font color="gray">rē´ō dā´zhǝ ner´ō</font>/<br>\n<div dir="rtl">شهر ریودوژانیرو (مرکز استان ریودوژانیرو - برزیل)</div></div>
Sartre	<div>/<font color="gray">sår´tr'</font>/<br>\n<div dir="rtl">ژان پل سارتر (فیلسوف و نویسندهٔ فرانسوی)</div></div>
TRIP	<div>/<font color="gray">trip</font>/<br>\n<div dir="rtl"><font color="green">صفت</font><br>(وابسته به انواع آلیاژهای پولاد که بسیار خم‌پذیر و محکم هستند) تریپ</div></div>
accompanist	<div>/<font color="gray">ǝ kum´pǝ nist</font>/<br>\n<div dir="rtl"><font color="green">اسم</font><br>(موسیقی) کسی که با نواختن ساز موسیقی (به ویژه پیانو) نوازنده یا خواننده را همراهی می‌کند، همنواز، هم‌نوازگر (accompanyist هم می‌نویسند)</div></div>
ambrosia	<div>/<font color="gray">am brō´zhǝ</font>/<br>\n<div dir="rtl"><font color="green">اسم</font><br><ol><li>(اسطوره‌های یونان و روم) خوراک خدایان</li><li>خوردنی لذیذ و خوشبو، شهد</li><li>رجوع شود به:<a href="bword://ragweed">ragweed</a></li></ol></div></div>
amphitropous	<div>/<font color="gray">am fi´trǝ pǝs</font>/<br>\n<div dir="rtl"><font color="green">صفت</font><br>(گیاه شناسی) دارای تخمک معکوس</div></div>
aplacental	<div>/<font color="gray">ā´plǝ sent´'l</font>/<br>\n<div dir="rtl"><font color="green">صفت</font><br>(جانورشناسی) فاقد جفت جنین (مانند کیسه داران)، بی جفت</div></div>
applied	<div>/<font color="gray">ǝ plīd´</font>/<br>\n<div dir="rtl"><font color="green">صفت</font><br>کاربردی، عملی (در مقابل: نظری یا ناکاربردی (theoretic(al)، کاربستهapplied sciencesعلوم کاربردی</div></div>
atherosclerosis	<div>/<font color="gray">ath´ǝr ō´sklǝ rō´sis</font>/<br>\n<div dir="rtl"><font color="green">اسم</font><br>(پزشکی) آترواسکلروز، سخت شدن شاهرگ‌ها (تصلب شرایین)، ناکشسانی سرخرگ‌ها، اسکلروز</div></div>
autogenous	<div>/<font color="gray">ô täj´ǝ nǝs</font>/<br>\n<div dir="rtl"><font color="green">صفت</font><br><ol><li>خودزاد، خودزاینده</li><li>(در مورد واکسن یا پیوند نسج و پوست در جراحی) به دست آمده از بدن خود شخص (autogenic هم می‌نویسند)</li></ol></div></div>
automation	<div>/<font color="gray">ôt´ǝ mā´shǝn</font>/<br>\n<div dir="rtl"><font color="green">اسم</font><br><ol><li>خودکاری، خودکارسازی، مجهز سازی به دستگاه‌های خودکار، اتوماتیک کردن، اتوماسیونthe automation of the automotive industryخودکار کردن صنعت اتومبیل سازی</li><li>جایگزینی دستگاه‌های خودکار که کردارهای تکراری انسان را انجام می‌دهند (در امور غیر صنعتی)automation in teachingکاربرد دستگاه‌های خودکار در آموزش</li></ol></div></div>
bandage	<div>/<font color="gray">ban´dij</font>/<br>\n<div dir="rtl"><font color="green">اسم،  فعل متعدی</font><br><ol><li>نوار زخم بندی، باند، زخم‌بند، تنزیب</li><li>(زخم را) نوارپیچی کردن، زخم‌بند بستن، نواربندی کردنa man with a bandaged armمردی با بازوی نوارپیچی شده</li></ol></div></div>
baroscope	<div>/<font color="gray">bar´ǝ skōp´</font>/<br>\n<div dir="rtl"><font color="green">اسم</font><br>(دستگاه سنجش فشار جو و تغییرات آن) باروسکپ</div></div>
bier	<div>/<font color="gray">bir</font>/<br>\n<div dir="rtl"><font color="green">اسم</font><br><ol><li>تابوت و پایه‌ها و زیرسازی آن</li><li>چارچوب یا سکوی متحرکی که تابوت را بر آن قرار می‌دهند</li></ol></div></div>
bister|bistre	<div>/<font color="gray">bis´tǝr</font>/<br>\n<div dir="rtl"><font color="green">اسم</font><br>(رنگدانهٔ قهوه‌ای پررنگ که از خاکهٔ زغال چوب به دست می‌آید) رنگ قهوه‌ای تند، بیستر</div></div>
bone white	<div><div dir="rtl">انواع رنگ‌های سفید کمی مایل به خاکستری یا زرد، سفید استخوانی</div></div>
bullate	<div>/<font color="gray">bool´it</font>/,  /<font color="gray">-āt´</font>/<br>\n<div dir="rtl"><font color="green">صفت</font><br><ol><li>تاول زده، تاول دار</li><li>دارای ظاهر تاول زده یا چروکیده (مانند برخی برگ‌ها)</li><li>برآمده (مثل تاول)</li></ol></div></div>
bushwa	<div>/<font color="gray">boosh´wä</font>/<br>\n<div dir="rtl"><font color="green">اسم</font><br>(امریکا - خودمانی) چرند، بی‌معنی، چرت وپرت، یاوه</div></div>
commodity	<div>/<font color="gray">kǝ mäd´ǝ tē</font>/<br>\n<div dir="rtl"><font color="green">اسم،  جمع</font><br><ol><li>کالا، مال (یا مال التجاره)، جنس، متاعlabor is bought and sold like any other commodityکار مانند هر کالای دیگری خرید و فروش می‌شود.</li><li>(جمع) محصول (به ویژه کشاورزی)، فرآورده‌های اصلی (مانند گندم و غیره)، لوازم</li><li>هر چیز سودمند، چیز به درد خور</li><li>(قدیمی) مزیت فردی، بهره‌وری شخصی</li></ol></div></div>
concertina	<div>/<font color="gray">kän´sǝr tē´nǝ</font>/<br>\n<div dir="rtl"><font color="green">اسم</font><br>(موسیقی) کنسرتینا (سازی مانند اکاردئون ولی ساده‌تر از آن)</div></div>
cozy	<div>/<font color="gray">kō´zē</font>/<br>\n<div dir="rtl"><font color="green">صفت</font><br><ol><li>گرم و نرم، راحت، دنج، آسودبخشa cozy little roomاتاق جمع و جور و راحتan extra blanket will make you feel cozierیک پتوی اضافی احساس راحتی بیشتری به شما خواهد داد.</li><li>گرم و دوستانهa cozy chatیک درد دل گرم و دوستانه</li><li>3 - روقوری (پارچه‌ای که برای گرم نگه‌داشتن روی قوری یا کتری و غیره می‌گذارند)، رو کتری، رو دیگ، دم‌کن (در انگلیس cosy هم می‌نویسند)* cozy up to(امریکا - عامیانه) خود را جا کردن، تحبیب کردن* play it cozy(امریکا - خودمانی) با احتیاط عمل کردن</li></ol></div></div>
demean	<div>/<font color="gray">dē mēn´</font>/,  /<font color="gray">di-</font>/<br>\n<div dir="rtl"><ul><li><font color="green">فعل متعدی</font><br>(خود را) پست کردن، خوار کردن، خفیف کردن، دون کردن، سبک کردنto demean oneself by taking a bribeبا گرفتن رشوه خود را خوار و خفیف کردنwhat he did demeaned his family tooآنچه او کرد خانوادهٔ او را نیز بی‌عزت کرد.</li><li><font color="green">فعل متعدی</font><br>رفتار کردنhe demeaned himself like a rich manاو مثل یک پولدار رفتار کرد.</li></ul></div></div>
deprecate	<div>/<font color="gray">dep´rǝ kāt´</font>/<br>\n<div dir="rtl"><font color="green">فعل متعدی</font><br><ol><li>مذموم دانستن، نکوهیده دانستن، بد دانستن، زشت خواندن، قبیح خواندن، ناروا دانستن، نهی کردنthey deprecated church music and songsآنان موسیقی و آواز کلیسایی را نهی می‌کردند.</li><li>ناچیز شمردن، کوچک شمردن، خوار کردنhe used to deprecate his own achievementsاو موفقیت‌های خود را ناچیز می‌شمرد.</li><li>(قدیمی) از طریق دعا در رفع شر کوشیدن</li></ol></div></div>
dinner	<div>/<font color="gray">din´ǝr</font>/<br>\n<div dir="rtl"><font color="green">اسم</font><br><ol><li>شام، نهارtonight, we are having guests for dinnerامشب برای شام مهمان داریم.what's for dinner?شام چی داریم‌؟a dinner for twoشام دو نفرهwhen she called, we were at dinnerوقتی تلفن زد داشتیم شام می‌خوردیم.dinner is served between five and eightشام بین ساعت پنج و هشت سرو می‌شود.</li><li>مهمانی شام یا نهار، ضیافت، سورa dinner honoring the new ambassadorضیافتی به افتخار سفیر جدید</li><li>(رستوران) شام (یا نهار) با مخلفات به قیمت مقطوع (table d'hote هم می‌گویند)</li></ol></div></div>
disaccustom	<div>/<font color="gray">dis´ǝ kus´tǝm</font>/,  /<font color="gray">dis´-</font>/<br>\n<div dir="rtl"><font color="green">فعل متعدی</font><br>رفع اعتیاد کردن، از عادت انداختن، ناخویمند کردن</div></div>
disruptive	<div>/<font color="gray">-rup´tiv</font>/<br>\n<div dir="rtl"><font color="green">صفت</font><br>مختل کننده، به هم زننده، مخل، مزاحمbecause of disruptive remarks, he was asked to leave the meetingبه خاطر حرف‌های مختل کننده‌اش از او خواستند که جلسه را ترک کند.</div></div>
dysprosium	<div>/<font color="gray">dis prō´zē ǝm</font>/,  /<font color="gray">-sē-</font>/<br>\n<div dir="rtl"><font color="green">اسم</font><br>(شیمی) دیسپروزیم (عنصر شیمیایی نقره‌فام، نشان آن: Dy، وزن اتمی: 162/50، شمارهٔ اتمی: 66، نقطهٔ گداز: 1412c)</div></div>
elapse	<div>/<font color="gray">ē laps´</font>/,  /<font color="gray">i-</font>/<br>\n<div dir="rtl"><font color="green">فعل لازم</font><br>(زمان) منقضی شدن، سرآمدن، سپری شدن، گذشتنfive years elapsed before I heard from him againپنج سال گذشت تا دوباره از او خبر یافتم.</div></div>
evanesce	<div>/<font color="gray">ev´ǝ nes´</font>/<br>\n<div dir="rtl"><font color="green">فعل لازم</font><br>محو شدن، ناپدید شدن (مثلا دود یا مه یا نور)، ستردن، زایل شدنan apparition evanescing into darknessشبحی که در تاریکی محو شد</div></div>
