##name	AmericanEnglish (Ru-En)
##sourceLang	Russian
##targetLang	English
а	<p style="padding-left:1em;margin:0"><i class="p"><font color="green">союз</font></i></p><p style="padding-left:1em;margin:0">1) but</p><p style="padding-left:2em;margin:0"><span class="sec"><span class="ex"><font color="steelblue">крас<u class="accent">и</u>в, а не умён — he is handsome but not clever</font></span></span></p><p style="padding-left:1em;margin:0">2) and</p><p style="padding-left:2em;margin:0"><span class="sec"><span class="ex"><font color="steelblue">что ты сег<u class="accent">о</u>дня д<u class="accent">е</u>лаешь? а з<u class="accent">а</u>втра? — what are you doing today? and tomorrow?</font></span></span></p><p style="padding-left:1em;margin:0">3) while</p><p style="padding-left:2em;margin:0"><span class="sec"><span class="ex"><font color="steelblue">я пошёл гул<u class="accent">я</u>ть, а он ост<u class="accent">а</u>лся д<u class="accent">о</u>ма — I went for a walk while he stayed at home</font></span></span></p><p style="padding-left:1em;margin:0"><span class="sec">•</span></p><p style="padding-left:1em;margin:0"><span class="sec">- <a href="bword://а именно">а именно</a></span></p><p style="padding-left:1em;margin:0"><span class="sec">- <a href="bword://а также">а также</a><br/>- <a href="bword://а то">а то</a></span></p><p style="padding-left:1em;margin:0"><span class="sec">- <a href="bword://а не то">а не то</a></span></p><p style="padding-left:1em;margin:0"><span class="sec">- <a href="bword://А Васька слушает да ест">А Васька слушает да ест</a></span></p>
А Васька слушает да ест	<b>А В<u class="accent">а</u>ська сл<u class="accent">у</u>шает да ест</b><br/><p style="padding-left:1em;margin:0">(<i>from Krylov's fable</i>) ...But Thomas all the while is busy with the chicken</p>
а где соль анекдота?	<b>а где соль анекд<u class="accent">о</u>та?</b><br/><p style="padding-left:1em;margin:0">and where is the punch line?</p>
а именно	<b>а <u class="accent">и</u>менно</b><br/><p style="padding-left:1em;margin:0">namely; exactly; such as; that is</p>
а мне наплевать!	<b>а мне наплев<u class="accent">а</u>ть!</b><br/><p style="padding-left:1em;margin:0">I couldn't care less!</p>
а не то	<p style="padding-left:1em;margin:0">or else; otherwise</p><p style="padding-left:2em;margin:0"><span class="sec"><span class="ex"><font color="steelblue">сд<u class="accent">е</u>лай <u class="accent">э</u>то, а не то... — please do it, or else...</font></span></span></p>
а также	<b>а т<u class="accent">а</u>кже</b><br/><p style="padding-left:1em;margin:0">also, as well</p>
а то	<p style="padding-left:1em;margin:0">or else</p>
а у вас есть дети?	<b>а у вас есть д<u class="accent">е</u>ти?</b><br/><p style="padding-left:1em;margin:0">do you have a family?</p>
а что дальше?	<b>а что д<u class="accent">а</u>льше?</b><br/><p style="padding-left:1em;margin:0">and then what?</p>
а что?	<p style="padding-left:1em;margin:0">why?</p>
абажур	<b>абаж<u class="accent">у</u>р</b><br/><p style="padding-left:1em;margin:0"><i class="p"><font color="green">м</font></i></p><p style="padding-left:1em;margin:0">(lamp-)shade</p>
Абакан	<b>Абак<u class="accent">а</u>н</b><br/><p style="padding-left:1em;margin:0">Abakan</p>
абзац	<b>абз<u class="accent">а</u>ц</b><br/><p style="padding-left:1em;margin:0"><i class="p"><font color="green">м</font></i></p><p style="padding-left:1em;margin:0">paragraph [<font face="Helvetica" class="dsl_t">'pær-</font>]</p>
Абиджан	<b>Абидж<u class="accent">а</u>н</b><br/><p style="padding-left:1em;margin:0">(<i>город в гос-ве Кот-д'Ивуар</i>) Abijan [<font face="Helvetica" class="dsl_t">ˌæbɪ'dʒæn</font>]</p>
абитуриент	<b>абитури<u class="accent">е</u>нт</b><br/><p style="padding-left:1em;margin:0"><i class="p"><font color="green"><i><font color="green">м</i></font></i>; <i class="p"><font color="green"><i>ж</i></font></i> - абитури<u class="accent">е</u>нтка</font></p><p style="padding-left:1em;margin:0">university [<font face="Helvetica" class="dsl_t">-'və:r-</font>] (college [<font face="Helvetica" class="dsl_t">'ka:l-</font>]) entrant</p>
абитуриентка	<b>абитури<u class="accent">е</u>нтка</b><br/><p style="padding-left:1em;margin:0"><i class="p"><font color="green"><i><font color="green">ж</i></font></i>; <i class="p"><font color="green"><i>см.</i></font></i> <a href="bword://абитуриент">абитуриент</a></font></p>
абонемент	<b>абонем<u class="accent">е</u>нт</b><br/><p style="padding-left:1em;margin:0"><i class="p"><font color="green">м</font></i></p><p style="padding-left:1em;margin:0">1) season ticket</p><p style="padding-left:1em;margin:0">2) (<i>библиотечный</i>) lending library [<font face="Helvetica" class="dsl_t">'laibrərɪ</font>]</p>
абонент	<b>абон<u class="accent">е</u>нт</b><br/><p style="padding-left:1em;margin:0"><i class="p"><font color="green">м</font></i></p><p style="padding-left:1em;margin:0">1) subscriber</p><p style="padding-left:1em;margin:0">2) (<i>библиотеки</i>) reader</p>
абориген	<b>абориг<u class="accent">е</u>н</b><br/><p style="padding-left:1em;margin:0"><i class="p"><font color="green">м</font></i></p><p style="padding-left:1em;margin:0">aborigine [<font face="Helvetica" class="dsl_t">ˌæbə-'rɪʤəˌni</font>], native</p>
аборт	<b>аб<u class="accent">о</u>рт</b><br/><p style="padding-left:1em;margin:0"><i class="p"><font color="green">м</font></i></p><p style="padding-left:1em;margin:0">abortion</p>
абракадабра	<b>абракад<u class="accent">а</u>бра</b><br/><p style="padding-left:1em;margin:0"><i class="p"><font color="green"><i><font color="green">ж</font></i> <i class="p"><font color="green">разг</font></i></font></i></p><p style="padding-left:1em;margin:0">gibberish [<font face="Helvetica" class="dsl_t">'gi-</font>], gobbledegook [<font face="Helvetica" class="dsl_t">'ga:bl-</font>]</p>
абрикос	<b>абрик<u class="accent">о</u>с</b><br/><p style="padding-left:1em;margin:0"><i class="p"><font color="green">м</font></i></p><p style="padding-left:1em;margin:0">1) (<i>плод</i>) apricot [<font face="Helvetica" class="dsl_t">'eiprɪˌka:t</font>]</p><p style="padding-left:1em;margin:0">2) (<i>дерево</i>) apricot tree</p>
абсолютный	<b>абсол<u class="accent">ю</u>тный</b><br/><p style="padding-left:1em;margin:0">absolute</p><p style="padding-left:2em;margin:0"><span class="sec"><span class="ex"><font color="steelblue">абсол<u class="accent">ю</u>тныйый чемпи<u class="accent">о</u>н — overall champion</font></span></span></p><p style="padding-left:2em;margin:0"><span class="sec">- <a href="bword://абсолютныйый слух">абсолютныйый слух</a><br/>- <a href="bword://абсолютныйая истина">абсолютныйая истина</a><br/>- <a href="bword://абсолютныйое оружие">абсолютныйое оружие</a></span></p>
абсолютный нуль	<b>абсол<u class="accent">ю</u>тный нуль</b><br/><p style="padding-left:1em;margin:0"><i class="p"><font color="green">физ</font></i> absolute zero</p>
абсолютныйая истина	<b>абсол<u class="accent">ю</u>тныйая <u class="accent">и</u>стина</b><br/><p style="padding-left:1em;margin:0">ultimate truth</p>
абсолютныйое оружие	<b>абсол<u class="accent">ю</u>тныйое ор<u class="accent">у</u>жие</b><br/><p style="padding-left:1em;margin:0"><i class="p"><font color="green">воен</font></i> ultimate weapon</p>
абсолютныйый слух	<b>абсол<u class="accent">ю</u>тныйый слух</b><br/><p style="padding-left:1em;margin:0">perfect ear</p>
абстрактный	<b>абстр<u class="accent">а</u>ктный</b><br/><p style="padding-left:1em;margin:0">abstract</p><p style="padding-left:2em;margin:0"><span class="sec"><span class="ex"><font color="steelblue">абстр<u class="accent">а</u>ктная ж<u class="accent">и</u>вопись — abstract painting</font></span></span></p><p style="padding-left:2em;margin:0"><span class="sec"><span class="ex"><font color="steelblue"><u class="accent">э</u>то ч<u class="accent">и</u>сто абстр<u class="accent">а</u>ктный вопр<u class="accent">о</u>с — this is a purely academic question</font></span></span></p>
абстракционизм	<b>абстракцион<u class="accent">и</u>зм</b><br/><p style="padding-left:1em;margin:0"><i class="p"><font color="green">м</font></i></p><p style="padding-left:1em;margin:0">abstract painting</p>
абсурд	<b>абс<u class="accent">у</u>рд</b><br/><p style="padding-left:1em;margin:0"><i class="p"><font color="green">м</font></i></p><p style="padding-left:1em;margin:0">nonsense</p><p style="padding-left:2em;margin:0"><span class="sec">- <a href="bword://довести что-л. до абсурда">довести что-л. до абсурда</a></span></p>
абсурдный	<b>абс<u class="accent">у</u>рдный</b><br/><p style="padding-left:1em;margin:0">absurd, ridiculous [<font face="Helvetica" class="dsl_t">rɪ'dɪ-</font>]</p>
Абу-Даби	<b>Аб<u class="accent">у</u>-Д<u class="accent">а</u>би</b><br/><p style="padding-left:1em;margin:0">(<i>столица Объединённых Арабских Эмиратов</i>) Abu Dhabi [<font face="Helvetica" class="dsl_t">ˌa:bu'da:bɪ</font>]</p>
Абуджа	<b>Аб<u class="accent">у</u>джа</b><br/><p style="padding-left:1em;margin:0">(<i>столица Нигерии</i>) Abuja [<font face="Helvetica" class="dsl_t">ə'bu:dʒə</font>]</p>
