##name	AmericanEnglish (Ru-En)
##sourceLang	Russian
##targetLang	English
а	<p style="padding-left:1em;margin:0"><i class="p"><font color="green">союз</font></i></p><p style="padding-left:1em;margin:0">1) but</p><p style="padding-left:2em;margin:0"><span class="sec"><span class="ex"><font color="steelblue">крас<u class="accent">и</u>в, а не умён — he is handsome but not clever</font></span></span></p><p style="padding-left:1em;margin:0">2) and</p><p style="padding-left:2em;margin:0"><span class="sec"><span class="ex"><font color="steelblue">что ты сег<u class="accent">о</u>дня д<u class="accent">е</u>лаешь? а з<u class="accent">а</u>втра? — what are you doing today? and tomorrow?</font></span></span></p><p style="padding-left:1em;margin:0">3) while</p><p style="padding-left:2em;margin:0"><span class="sec"><span class="ex"><font color="steelblue">я пошёл гул<u class="accent">я</u>ть, а он ост<u class="accent">а</u>лся д<u class="accent">о</u>ма — I went for a walk while he stayed at home</font></span></span></p><p style="padding-left:1em;margin:0"><span class="sec">•</span></p><p style="padding-left:1em;margin:0"><span class="sec">- <a href="а именно">а именно</a></span></p><p style="padding-left:1em;margin:0"><span class="sec">- <a href="а также">а также</a><br/>- <a href="а то">а то</a></span></p><p style="padding-left:1em;margin:0"><span class="sec">- <a href="а не то">а не то</a></span></p><p style="padding-left:1em;margin:0"><span class="sec">- <a href="А Васька слушает да ест">А Васька слушает да ест</a></span></p>
А Васька слушает да ест	<p style="padding-left:1em;margin:0">(<i>from Krylov's fable</i>) ...But Thomas all the while is busy with the chicken</p>
а где соль анекдота?	<p style="padding-left:1em;margin:0">and where is the punch line?</p>
а именно	<p style="padding-left:1em;margin:0">namely; exactly; such as; that is</p>
а мне наплевать!	<p style="padding-left:1em;margin:0">I couldn't care less!</p>
а не то	<p style="padding-left:1em;margin:0">or else; otherwise</p><p style="padding-left:2em;margin:0"><span class="sec"><span class="ex"><font color="steelblue">сд<u class="accent">е</u>лай <u class="accent">э</u>то, а не то... — please do it, or else...</font></span></span></p>
а также	<p style="padding-left:1em;margin:0">also, as well</p>
а то	<p style="padding-left:1em;margin:0">or else</p>
а у вас есть дети?	<p style="padding-left:1em;margin:0">do you have a family?</p>
а что дальше?	<p style="padding-left:1em;margin:0">and then what?</p>
а что?	<p style="padding-left:1em;margin:0">why?</p>
абажур	<p style="padding-left:1em;margin:0"><i class="p"><font color="green">м</font></i></p><p style="padding-left:1em;margin:0">(lamp-)shade</p>
Абакан	<p style="padding-left:1em;margin:0">Abakan</p>
абзац	<p style="padding-left:1em;margin:0"><i class="p"><font color="green">м</font></i></p><p style="padding-left:1em;margin:0">paragraph [<font face="Helvetica" class="dsl_t">'pær-</font>]</p>
Абиджан	<p style="padding-left:1em;margin:0">(<i>город в гос-ве Кот-д'Ивуар</i>) Abijan [<font face="Helvetica" class="dsl_t">ˌæbɪ'dʒæn</font>]</p>
абитуриент	<p style="padding-left:1em;margin:0"><i class="p"><font color="green"><i><font color="green">м</i></font></i>; <i class="p"><font color="green"><i>ж</i></font></i> - абитури<u class="accent">е</u>нтка</font></p><p style="padding-left:1em;margin:0">university [<font face="Helvetica" class="dsl_t">-'və:r-</font>] (college [<font face="Helvetica" class="dsl_t">'ka:l-</font>]) entrant</p>
абитуриентка	<p style="padding-left:1em;margin:0"><i class="p"><font color="green"><i><font color="green">ж</i></font></i>; <i class="p"><font color="green"><i>см.</i></font></i> <a href="абитуриент">абитуриент</a></font></p>
абонемент	<p style="padding-left:1em;margin:0"><i class="p"><font color="green">м</font></i></p><p style="padding-left:1em;margin:0">1) season ticket</p><p style="padding-left:1em;margin:0">2) (<i>библиотечный</i>) lending library [<font face="Helvetica" class="dsl_t">'laibrərɪ</font>]</p>
абонент	<p style="padding-left:1em;margin:0"><i class="p"><font color="green">м</font></i></p><p style="padding-left:1em;margin:0">1) subscriber</p><p style="padding-left:1em;margin:0">2) (<i>библиотеки</i>) reader</p>
абориген	<p style="padding-left:1em;margin:0"><i class="p"><font color="green">м</font></i></p><p style="padding-left:1em;margin:0">aborigine [<font face="Helvetica" class="dsl_t">ˌæbə-'rɪʤəˌni</font>], native</p>
аборт	<p style="padding-left:1em;margin:0"><i class="p"><font color="green">м</font></i></p><p style="padding-left:1em;margin:0">abortion</p>
абракадабра	<p style="padding-left:1em;margin:0"><i class="p"><font color="green"><i><font color="green">ж</font></i> <i class="p"><font color="green">разг</font></i></font></i></p><p style="padding-left:1em;margin:0">gibberish [<font face="Helvetica" class="dsl_t">'gi-</font>], gobbledegook [<font face="Helvetica" class="dsl_t">'ga:bl-</font>]</p>
абрикос	<p style="padding-left:1em;margin:0"><i class="p"><font color="green">м</font></i></p><p style="padding-left:1em;margin:0">1) (<i>плод</i>) apricot [<font face="Helvetica" class="dsl_t">'eiprɪˌka:t</font>]</p><p style="padding-left:1em;margin:0">2) (<i>дерево</i>) apricot tree</p>
