##name	024-cedict.u8
A	<div style="border: 1px solid; padding: 5px"><div><big><div style="display: inline-block"><font color="black">A</font></div></big><br><big><div style="display: inline-block"><font color="black">A</font></div></big></div><div><ul><li>(slang) (Tw) to steal</li></ul></div></div>
AA制	<div style="border: 1px solid; padding: 5px"><div><big><div style="display: inline-block"><font color="">A</font><font color="">A</font><font color="">制</font></div></big><br><big><div style="display: inline-block"><font color="black">AA</font><font color="blue">zhì</font></div></big></div><div><ul><li>to split the bill; to go Dutch</li></ul></div></div>
AB制	<div style="border: 1px solid; padding: 5px"><div><big><div style="display: inline-block"><font color="black">A</font><font color="black">B</font><font color="blue">制</font></div></big><br><big><div style="display: inline-block"><font color="black">A</font><font color="black">B</font><font color="blue">zhì</font></div></big></div><div><ul><li>to split the bill (where the male counterpart foots the larger portion of the sum)</li><li>(theater) a system where two actors take turns in acting the main role, with one actor replacing the other if either is unavailable</li></ul></div></div>
ACG	<div style="border: 1px solid; padding: 5px"><div><big><div style="display: inline-block"><font color="black">A</font><font color="black">C</font><font color="black">G</font></div></big><br><big><div style="display: inline-block"><font color="black">A</font><font color="black">C</font><font color="black">G</font></div></big></div><div><ul><li>acronym for "anime, comics and games"</li></ul></div></div>
A咖	<div style="border: 1px solid; padding: 5px"><div><big><div style="display: inline-block"><font color="black">A</font><font color="red">咖</font></div></big><br><big><div style="display: inline-block"><font color="black">A</font><font color="red">kā</font></div></big></div><div><ul><li>class "A"; top grade</li></ul></div></div>
A圈儿|A圈兒	<div style="border: 1px solid; padding: 5px"><div><big><div style="display: inline-block"><font color="black">A</font><font color="red">圈</font><font color="black">儿</font></div></big> / <div style="display: inline-block"><font color="black">A</font><font color="red">圈</font><font color="black">兒</font></div><br><big><div style="display: inline-block"><font color="black">A</font><font color="red">quān</font><font color="black">r</font></div></big></div><div><ul><li>at symbol, @</li></ul></div></div>
不贰过|不貳過	<div style="border: 1px solid; padding: 5px"><div><big><div style="display: inline-block"><font color="blue">不</font><font color="blue">贰</font><font color="blue">过</font></div></big> / <div style="display: inline-block"><font color="blue">不</font><font color="blue">貳</font><font color="blue">過</font></div><br><big><div style="display: inline-block"><font color="blue">bù</font><font color="blue">'èr</font><font color="blue">guò</font></div></big></div><div><ul><li>(literary) to not repeat the same mistake</li></ul></div></div>
不费事|不費事	<div style="border: 1px solid; padding: 5px"><div><big><div style="display: inline-block"><font color="blue">不</font><font color="blue">费</font><font color="blue">事</font></div></big> / <div style="display: inline-block"><font color="blue">不</font><font color="blue">費</font><font color="blue">事</font></div><br><big><div style="display: inline-block"><font color="blue">bù</font><font color="blue">fèi</font><font color="blue">shì</font></div></big></div><div><ul><li>not troublesome</li></ul></div></div>
不费吹灰之力|不費吹灰之力	<div style="border: 1px solid; padding: 5px"><div><big><div style="display: inline-block"><font color="blue">不</font><font color="blue">费</font><font color="red">吹</font><font color="red">灰</font><font color="red">之</font><font color="blue">力</font></div></big> / <div style="display: inline-block"><font color="blue">不</font><font color="blue">費</font><font color="red">吹</font><font color="red">灰</font><font color="red">之</font><font color="blue">力</font></div><br><big><div style="display: inline-block"><font color="blue">bù</font><font color="blue">fèi</font><font color="red">chuī</font><font color="red">huī</font><font color="red">zhī</font><font color="blue">lì</font></div></big></div><div><ul><li>as easy as blowing off dust</li><li>effortless</li><li>with ease</li></ul></div></div>
不赖|不賴	<div style="border: 1px solid; padding: 5px"><div><big><div style="display: inline-block"><font color="blue">不</font><font color="blue">赖</font></div></big> / <div style="display: inline-block"><font color="blue">不</font><font color="blue">賴</font></div><br><big><div style="display: inline-block"><font color="blue">bù</font><font color="blue">lài</font></div></big></div><div><ul><li>(coll.) not bad</li><li>good</li><li>fine</li></ul></div></div>
