##name	024-cedict.u8
A	<div style="border: 1px solid; padding: 5px"><div><big><div style="display: inline-block"><font color="">A</font></div></big><br><big><div style="display: inline-block"><font color="">A</font></div></big></div><div><ul><li>(slang) (Tw) to steal</li></ul></div></div>
AA制	<div style="border: 1px solid; padding: 5px"><div><big><div style="display: inline-block"><font color="">A</font><font color="">A</font><font color="">制</font></div></big><br><big><div style="display: inline-block"><font color="">AA</font><font color="">zhì</font></div></big></div><div><ul><li>to split the bill; to go Dutch</li></ul></div></div>
AB制	<div style="border: 1px solid; padding: 5px"><div><big><div style="display: inline-block"><font color="">A</font><font color="">B</font><font color="">制</font></div></big><br><big><div style="display: inline-block"><font color="">A</font><font color="">B</font><font color="">zhì</font></div></big></div><div><ul><li>to split the bill (where the male counterpart foots the larger portion of the sum)</li><li>(theater) a system where two actors take turns in acting the main role, with one actor replacing the other if either is unavailable</li></ul></div></div>
ACG	<div style="border: 1px solid; padding: 5px"><div><big><div style="display: inline-block"><font color="">A</font><font color="">C</font><font color="">G</font></div></big><br><big><div style="display: inline-block"><font color="">A</font><font color="">C</font><font color="">G</font></div></big></div><div><ul><li>acronym for "anime, comics and games"</li></ul></div></div>
A咖	<div style="border: 1px solid; padding: 5px"><div><big><div style="display: inline-block"><font color="">A</font><font color="">咖</font></div></big><br><big><div style="display: inline-block"><font color="">A</font><font color="">kā</font></div></big></div><div><ul><li>class "A"; top grade</li></ul></div></div>
A圈儿|A圈兒	<div style="border: 1px solid; padding: 5px"><div><big><div style="display: inline-block"><font color="">A</font><font color="">圈</font><font color="">儿</font></div></big> / <div style="display: inline-block"><font color="">A</font><font color="">圈</font><font color="">兒</font></div><br><big><div style="display: inline-block"><font color="">A</font><font color="">quān</font><font color="">r</font></div></big></div><div><ul><li>at symbol, @</li></ul></div></div>
不贰过|不貳過	<div style="border: 1px solid; padding: 5px"><div><big><div style="display: inline-block"><font color="">不</font><font color="">贰</font><font color="">过</font></div></big> / <div style="display: inline-block"><font color="">不</font><font color="">貳</font><font color="">過</font></div><br><big><div style="display: inline-block"><font color="">bù</font><font color="">'èr</font><font color="">guò</font></div></big></div><div><ul><li>(literary) to not repeat the same mistake</li></ul></div></div>
不费事|不費事	<div style="border: 1px solid; padding: 5px"><div><big><div style="display: inline-block"><font color="">不</font><font color="">费</font><font color="">事</font></div></big> / <div style="display: inline-block"><font color="">不</font><font color="">費</font><font color="">事</font></div><br><big><div style="display: inline-block"><font color="">bù</font><font color="">fèi</font><font color="">shì</font></div></big></div><div><ul><li>not troublesome</li></ul></div></div>
不费吹灰之力|不費吹灰之力	<div style="border: 1px solid; padding: 5px"><div><big><div style="display: inline-block"><font color="">不</font><font color="">费</font><font color="">吹</font><font color="">灰</font><font color="">之</font><font color="">力</font></div></big> / <div style="display: inline-block"><font color="">不</font><font color="">費</font><font color="">吹</font><font color="">灰</font><font color="">之</font><font color="">力</font></div><br><big><div style="display: inline-block"><font color="">bù</font><font color="">fèi</font><font color="">chuī</font><font color="">huī</font><font color="">zhī</font><font color="">lì</font></div></big></div><div><ul><li>as easy as blowing off dust</li><li>effortless</li><li>with ease</li></ul></div></div>
不赖|不賴	<div style="border: 1px solid; padding: 5px"><div><big><div style="display: inline-block"><font color="">不</font><font color="">赖</font></div></big> / <div style="display: inline-block"><font color="">不</font><font color="">賴</font></div><br><big><div style="display: inline-block"><font color="">bù</font><font color="">lài</font></div></big></div><div><ul><li>(coll.) not bad</li><li>good</li><li>fine</li></ul></div></div>
