##name	Sample for all alphabets from Aryanpour Dictionary (en-fa, fa-en)
##input_file_size	33941
##edition	2023.02.17
##copyright	Licensed under the <a href="https://creativecommons.org/licenses/by-sa/3.0/legalcode">Creative Commons Attribution-ShareAlike 3.0 Unported</a> license
##publisher	Saeed Rasooli
##creationTime	2023-02-17
##sourceLang	English
##targetLang	Persian
à bon marché	<div>/<font color="gray">å bōn mår shā´</font>/<br><div dir="rtl"><div>(فرانسه) به قیمت خوب، ارزان، مناسب</div></div></div>
a cappella	<div>/<font color="gray">ä´kə pel´ə</font>/<br><div dir="rtl"><div>آواز بدون همراهی موسیقی (به ویژه آواز کلیسایی)</div></div></div>
A level	<div><div dir="rtl"><div>(انگلیس) مرحلهٔ دوم و پیشرفته‌تر امتحانات دورهٔ متوسطه (که معمولا دو سال بعد از امتحان اول انجام می‌شود) (رجوع شود به: <a href="bword://O level">O level</a>)، قبولی در این امتحانات (A-level هم می‌نویسند)</div></div></div>
-ability|ability	<div>/<font color="gray">ə bil´ə tē</font>/<br><div dir="rtl"><font color="green">پسوند</font><br><div>پسوند (اسم‌ساز): توانایی، تمایل، قابلیت، ظرفیت</div></div></div>
B & B|B andB	<div><div dir="rtl"><font color="green">مخفف</font><br><ol><li><div>(مسافرخانه‌ها) بستر و صبحانه، اتاق و صبحانه</div></li><li><div>(مشروب) براندی و بندیکتین</div></li></ol></div></div>
baaskaap	<div>/<font color="gray">bäs´käp´</font>/<br><div dir="rtl"><font color="green">اسم</font><br><div>(افریقای جنوبی) سیاست تسلط کامل سفیدپوستان بر سیاهان (مقایسه شود با: apartheid)</div></div></div>
C & W	<div><div dir="rtl"><font color="green">مخفف</font><br><div>(موسیقی) کانتری (ویژهٔ ایالات جنوبی ایالات متحده) و غربی (ویژهٔ جنوب باختری ایالات متحده)</div></div></div>
ca' canny	<div><div dir="rtl"><div>رجوع شود به: <a href="bword://canny">canny</a></div></div></div>
D layer	<div><div dir="rtl"><div>(جغرافی و نجوم) لایهٔ دی، لایهٔ دال (زیرین‌ترین لایه یون سپهر)</div></div></div>
d'Arblay	<div>/<font color="gray">där´blā</font>/<br><div dir="rtl"><div>رجوع شود به: <a href="bword://Fanny Burney">Fanny Burney</a></div></div></div>
E & OE	<div><div dir="rtl"><font color="green">مخفف</font><br><div>به استثنای اشتباهات و حذفیات، به جز لغزش‌ها و افتادگی‌ها</div></div></div>
e pluribus unum	<div>/<font color="gray">ē´ ploor´ē boos´ ōō´noom</font>/<br><div dir="rtl"><div>(یکی از شعارهای ایالت متحده - لاتین) از چندتا یکی، یکپارچگی علیرغم داشتن ملیت‌های مختلف</div></div></div>
éclair	<div>/<font color="gray">ā kler´</font>/,  /<font color="gray">i-</font>/,  /<font color="gray">ē-</font>/<br><div dir="rtl"><font color="green">اسم</font><br><div>(شیرینی‌سازی) نان خامه‌ای دراز</div></div></div>
F & WS	<div><div dir="rtl"><div>مخفف : (امریکا) ادارهٔ کل شیلات و جانورداری</div></div></div>
f-number	<div>/<font color="gray">ef´num´bər</font>/<br><div dir="rtl"><font color="green">اسم</font><br><div>(عکاسی و فیلم‌برداری و غیره) عدد اف (نسبت فاصلهٔ کانونی عدسی به قطر موثر دیافراگم)</div></div></div>
G clef	<div><div dir="rtl"><div>رجوع شود به: <a href="bword://treble clef">treble clef</a></div></div></div>
